               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.063334,            0.060172,                   0,             0.62456,             0.42333,             0.46305,             0.19711,            0.062401,            0.063563,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.06368,            0.061873,                   0,             0.62127,              0.4392,             0.47963,             0.21109,            0.060845,            0.063741,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.063179,            0.062183,                   0,             0.57822,             0.46004,             0.47901,             0.19207,            0.063339,            0.062547,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.063437,             0.06134,                   0,             0.61075,             0.44398,             0.46979,             0.20946,             0.06154,            0.064201,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.062283,            0.058281,                   0,             0.59319,             0.45621,             0.48032,             0.21706,            0.060399,            0.063152,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.062101,            0.060484,                   0,             0.63863,             0.43805,             0.48075,             0.19685,            0.062711,            0.065753,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.061904,            0.059888,                   0,             0.60569,             0.45717,             0.48285,             0.20337,            0.061617,            0.063388,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.061425,            0.058136,                   0,             0.57584,             0.45322,             0.46797,             0.20639,            0.061037,            0.068581,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.061885,             0.06126,                   0,             0.61667,              0.4254,             0.45812,             0.17867,            0.065241,            0.064657,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.060748,            0.058347,                   0,             0.67487,             0.43728,             0.49661,             0.22687,            0.060374,            0.063463,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.061179,            0.061403,                   0,             0.64159,             0.43652,             0.48251,             0.20163,            0.061538,            0.064303,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.060999,            0.061639,                   0,             0.67683,             0.43089,             0.49195,             0.22165,            0.060496,            0.063017,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.059808,            0.057976,                   0,             0.61802,             0.47495,             0.50655,             0.22962,            0.059279,            0.062223,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.059763,            0.058702,                   0,             0.59997,             0.46482,             0.48572,             0.21805,            0.060524,            0.062989,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.059608,            0.059002,                   0,             0.64444,             0.46635,             0.50787,             0.22812,            0.059241,            0.065708,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.059475,            0.059556,                   0,             0.62495,              0.4674,             0.50055,             0.22753,            0.060571,            0.063092,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.059373,             0.05828,                   0,             0.62883,             0.48088,              0.5104,             0.23243,            0.058981,            0.065442,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.058726,            0.058986,                   0,             0.66346,              0.4478,             0.49849,             0.22974,            0.059331,            0.062368,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.059372,            0.058033,                   0,             0.70184,             0.44245,             0.51308,             0.23408,            0.058682,            0.062965,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.058933,             0.05809,                   0,             0.67027,             0.45903,             0.51616,             0.22373,            0.060111,            0.062285,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.058243,            0.058569,                   0,             0.62957,             0.48356,             0.51565,             0.22574,            0.059641,            0.063125,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.058121,            0.057139,                   0,             0.67349,             0.46654,             0.52469,             0.24443,            0.058292,            0.062742,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.05775,            0.058788,                   0,             0.64265,             0.48209,             0.52286,             0.24014,            0.058471,            0.062453,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.057368,            0.060341,                   0,             0.67465,             0.46883,             0.51987,             0.24002,            0.058692,            0.062396,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.057108,            0.057316,                   0,             0.63595,             0.48834,             0.52521,             0.24346,            0.058349,            0.062712,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.057448,            0.055681,                   0,             0.62157,             0.47878,             0.51686,             0.23496,            0.058618,            0.062259,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.057796,            0.058919,                   0,             0.62052,             0.49598,             0.52365,             0.23327,            0.059824,             0.06345,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.056597,            0.056757,                   0,             0.69067,             0.46501,             0.52882,             0.24166,             0.05892,            0.062298,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.056912,             0.05723,                   0,             0.67371,              0.4694,             0.52013,             0.22803,             0.06028,            0.062049,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.056841,            0.057203,                   0,             0.66938,             0.47553,             0.52131,             0.23862,            0.058687,            0.062442,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.056492,            0.056661,                   0,              0.6493,             0.49006,             0.52837,             0.24368,            0.058272,            0.061872,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.055476,            0.057179,                   0,             0.60915,             0.49796,             0.51961,             0.23761,            0.059322,            0.062583,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.055527,            0.059657,                   0,             0.69653,             0.45641,             0.53086,             0.24861,            0.057929,            0.061306,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.056441,            0.056839,                   0,             0.66728,             0.48432,             0.53843,             0.24392,            0.058146,            0.061428,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.055154,            0.056614,                   0,             0.70701,             0.45755,              0.5307,             0.24749,            0.058557,            0.061281,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.05537,            0.056726,                   0,             0.66185,             0.48528,             0.53123,             0.25062,            0.057596,            0.062971,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.055427,            0.055589,                   0,             0.66138,             0.49484,             0.53796,             0.23807,            0.058857,            0.061796,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.054452,            0.053713,                   0,             0.64916,             0.46922,             0.50723,             0.22554,            0.060469,            0.062525,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.055096,            0.056819,                   0,             0.65324,             0.49132,             0.53088,             0.23825,            0.060258,            0.062546,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.055336,            0.055625,                   0,             0.63806,             0.49904,             0.53927,             0.24943,            0.057735,            0.062367,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.054807,            0.054965,                   0,             0.63537,             0.47342,             0.51501,             0.22825,            0.059324,            0.062441,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.054059,            0.054975,                   0,              0.6401,             0.49465,             0.53317,             0.24812,            0.057115,             0.06215,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.054165,             0.05451,                   0,             0.67195,             0.48279,             0.53307,             0.23966,             0.05891,            0.063376,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.054312,            0.055858,                   0,             0.64643,             0.49962,             0.53856,             0.25323,            0.057761,            0.060972,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.053957,            0.052961,                   0,              0.6426,             0.49656,               0.534,             0.24906,            0.058084,            0.062461,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.053111,            0.052351,                   0,              0.6718,             0.49197,             0.54714,             0.25916,            0.056983,            0.061046,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.053276,            0.054746,                   0,             0.63192,             0.50554,              0.5408,             0.25383,            0.057665,            0.061564,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.053516,            0.054603,                   0,             0.68501,             0.47361,             0.53447,              0.2523,            0.058736,            0.061806,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.053034,            0.051988,                   0,             0.64915,             0.49989,             0.54547,             0.26091,            0.056626,            0.062216,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.053652,            0.055396,                   0,             0.68411,             0.48948,             0.54391,             0.25499,            0.057932,            0.061204,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.053081,            0.054102,                   0,             0.66774,             0.50363,             0.54759,             0.25477,             0.05867,            0.061146,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.052713,             0.05363,                   0,             0.68989,             0.47992,             0.53796,             0.24746,            0.058731,            0.062521,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.051798,            0.050103,                   0,             0.65564,             0.49924,             0.54844,             0.25534,            0.057753,            0.061579,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.052085,            0.053244,                   0,             0.67346,             0.49522,             0.54694,             0.25545,            0.058017,            0.063017,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.052018,            0.053419,                   0,             0.65586,             0.50421,             0.54943,             0.25869,            0.057721,            0.061871,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.052222,            0.052361,                   0,             0.68368,             0.49178,              0.5463,             0.24904,            0.058058,            0.061926,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.052105,            0.052415,                   0,             0.71735,             0.46974,             0.54688,             0.25662,            0.057966,            0.061989,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.052799,            0.053268,                   0,             0.65223,             0.49197,             0.53537,             0.25163,            0.057666,            0.062416,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.051823,             0.05338,                   0,             0.66866,             0.49545,             0.54678,             0.25386,             0.05815,            0.062085,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.05127,            0.053332,                   0,             0.66898,             0.49229,             0.54143,             0.25171,            0.058059,            0.061825,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.05155,            0.051128,                   0,              0.6888,             0.48795,             0.54173,             0.24748,            0.058386,            0.062329,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.050721,            0.051409,                   0,               0.706,              0.4914,             0.55363,             0.26836,            0.056895,            0.062375,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.050899,            0.049893,                   0,             0.68257,             0.49369,             0.55589,             0.26619,            0.056747,            0.061642,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.05047,              0.0512,                   0,              0.6678,             0.51147,             0.55645,             0.25989,            0.056987,            0.060993,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.051263,            0.051535,                   0,             0.71834,              0.4735,             0.55084,             0.26057,            0.057204,            0.062312,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.050182,            0.051482,                   0,             0.69844,             0.48834,             0.54956,             0.25829,            0.057539,            0.061283,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.050881,             0.05167,                   0,             0.69318,              0.4826,             0.54163,              0.2569,            0.057781,            0.062404,                   0,            0.006568,            0.006568,            0.006568
