               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.069792,              0.0645,                   0,             0.56299,             0.35583,             0.37488,             0.13635,            0.068258,            0.067032,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.069007,            0.063036,                   0,             0.52101,              0.3673,             0.37206,             0.13529,            0.068018,            0.066314,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.069008,            0.063247,                   0,              0.5466,             0.37629,             0.38761,             0.15102,            0.065962,            0.065941,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.068254,            0.065906,                   0,             0.53766,              0.3717,             0.37892,             0.13975,            0.067739,            0.066661,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.06785,            0.063439,                   0,             0.47548,              0.3239,             0.31778,             0.11288,            0.071725,            0.069399,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.067663,            0.062184,                   0,             0.54549,              0.3768,             0.38636,              0.1527,            0.065619,            0.066347,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.067754,            0.065492,                   0,             0.55617,             0.37113,             0.38242,             0.14199,            0.067301,            0.066769,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.068282,            0.064313,                   0,             0.52749,             0.38222,             0.38882,             0.15156,            0.065737,            0.065829,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.06704,            0.060951,                   0,             0.55106,             0.38298,             0.39644,             0.15538,            0.065501,            0.066012,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.067547,            0.064447,                   0,             0.55977,             0.38776,             0.40295,             0.15643,            0.065727,            0.066055,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.067179,            0.063394,                   0,             0.58024,             0.37151,             0.40009,             0.15777,            0.065351,            0.066709,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.066173,             0.06316,                   0,             0.58597,             0.38317,             0.41125,             0.16423,            0.064832,             0.06535,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.06596,            0.063478,                   0,             0.54484,             0.37725,             0.38666,             0.14573,             0.06778,            0.066039,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.067991,            0.063343,                   0,             0.51736,             0.37855,             0.37231,              0.1486,            0.066186,            0.067845,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.066246,            0.063041,                   0,             0.58504,             0.38757,             0.40874,             0.16301,            0.065296,            0.065345,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.065664,             0.06192,                   0,             0.52699,             0.41663,             0.41273,               0.167,            0.064888,            0.066709,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.066081,            0.064026,                   0,              0.5942,             0.38889,             0.42199,              0.1717,            0.064357,            0.064961,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.065379,            0.062731,                   0,             0.60298,             0.39388,             0.42428,             0.17519,            0.063848,            0.066067,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.064171,            0.060115,                   0,              0.6012,             0.39101,             0.41699,             0.17296,            0.064782,             0.06612,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.065828,            0.062332,                   0,             0.58072,             0.39713,             0.42386,             0.16917,            0.064287,            0.064813,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.064579,            0.060791,                   0,             0.56212,             0.41825,             0.42808,              0.1762,            0.064079,            0.066126,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.065418,              0.0631,                   0,             0.58227,             0.38528,             0.40836,             0.14444,            0.067852,            0.064701,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.064782,            0.061376,                   0,             0.58558,             0.40707,             0.42953,             0.17616,            0.064192,             0.06434,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.064463,            0.059643,                   0,             0.56165,             0.41033,             0.42743,             0.17473,            0.064313,            0.064824,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.064538,            0.061477,                   0,             0.57546,             0.41683,             0.43665,             0.17517,            0.064012,            0.064776,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.064188,            0.061311,                   0,             0.58616,             0.40325,             0.42972,             0.16782,            0.065223,            0.065837,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.063774,            0.061753,                   0,             0.60767,             0.39062,              0.4231,             0.17377,            0.063629,            0.065447,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.063561,            0.061773,                   0,             0.60613,             0.39254,             0.43327,             0.17803,            0.063878,            0.065179,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.063209,            0.059006,                   0,             0.55672,             0.41453,             0.42583,             0.16435,             0.06475,            0.064539,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.063727,            0.060325,                   0,             0.55935,             0.41042,             0.42692,             0.17854,            0.064188,            0.065772,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.063178,             0.06262,                   0,             0.57794,             0.41606,             0.44258,             0.18401,            0.062967,            0.064271,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.063592,            0.063614,                   0,             0.56995,             0.41511,             0.43206,             0.18254,            0.063392,            0.065169,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.062425,            0.058987,                   0,             0.58694,             0.42954,             0.45359,             0.18587,             0.06304,            0.063948,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.061304,            0.058564,                   0,             0.59715,             0.36941,             0.40393,             0.14539,            0.067495,            0.064419,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.062316,            0.060809,                   0,             0.64626,             0.39369,             0.44055,             0.17927,            0.064312,            0.064968,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.062525,             0.06104,                   0,             0.61271,             0.40897,             0.45076,             0.18632,            0.063178,            0.064629,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.062545,            0.058658,                   0,             0.60637,              0.4153,             0.44467,             0.18434,            0.063845,            0.064444,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.062095,            0.062581,                   0,             0.65989,             0.41625,             0.46268,             0.19169,            0.062511,            0.064147,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.061094,            0.059262,                   0,             0.58585,             0.43423,             0.45579,             0.18835,            0.063277,            0.064423,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.061523,            0.059128,                   0,             0.57955,             0.44168,             0.45351,             0.18958,            0.063047,            0.065594,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.062051,            0.060173,                   0,             0.64891,             0.41453,             0.46158,             0.20026,            0.061575,            0.063975,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.062665,            0.059835,                   0,             0.61127,             0.40249,             0.44538,             0.18239,            0.063587,            0.064122,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.061579,             0.06037,                   0,             0.58615,              0.4283,             0.45328,             0.18207,            0.063281,            0.064404,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.061695,            0.059831,                   0,             0.58353,             0.44044,             0.46226,             0.19461,            0.061996,            0.064182,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.060435,            0.057832,                   0,             0.61316,             0.42562,             0.46009,             0.18946,            0.063694,            0.064179,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.061254,             0.05919,                   0,             0.57537,             0.43461,             0.45256,             0.18342,             0.06278,             0.06482,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.061115,            0.060638,                   0,             0.59181,             0.41893,             0.45062,             0.18317,            0.064044,            0.064068,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.060271,            0.059161,                   0,             0.62175,             0.41663,             0.45634,             0.19673,            0.062374,            0.064543,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.060027,            0.059443,                   0,             0.60914,             0.42639,              0.4614,             0.19482,            0.062896,            0.063697,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.061099,            0.060618,                   0,             0.60509,              0.4262,             0.45785,              0.1911,             0.06383,             0.06457,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.059601,            0.058148,                   0,             0.61207,             0.43155,             0.46688,             0.19932,            0.061985,            0.064372,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.059453,             0.05742,                   0,             0.65471,             0.41205,              0.4676,             0.20135,            0.061301,            0.064382,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.059183,            0.058726,                   0,             0.64059,             0.41855,             0.46612,             0.19748,            0.061924,            0.065215,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.059278,            0.059671,                   0,             0.61235,             0.43078,             0.46625,             0.19141,            0.062295,            0.063854,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.060434,            0.060696,                   0,              0.6134,              0.4478,             0.47659,             0.20118,            0.061534,            0.064238,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.059177,            0.057147,                   0,              0.6335,             0.42887,              0.4727,             0.20265,            0.061846,            0.064014,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.059654,            0.058152,                   0,             0.61565,             0.43958,             0.47177,             0.19702,            0.062034,            0.064556,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.059239,            0.057759,                   0,             0.58531,             0.44149,             0.46679,             0.20159,            0.061483,              0.0639,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.059188,             0.05767,                   0,             0.65297,             0.42428,             0.47449,             0.20198,            0.062116,            0.063957,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.058956,            0.059088,                   0,             0.59388,             0.44971,             0.46749,             0.20062,            0.062013,            0.064976,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.059599,            0.058261,                   0,             0.60827,             0.43078,             0.46622,             0.19681,            0.062974,            0.064556,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.058892,            0.057319,                   0,             0.62441,             0.42308,             0.46694,             0.19717,            0.062578,            0.063722,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.059164,            0.058872,                   0,             0.59639,             0.45277,              0.4779,             0.20233,            0.062604,            0.063754,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.058511,            0.058071,                   0,             0.63893,             0.42352,             0.46821,             0.19857,            0.062431,            0.063921,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.058187,            0.057123,                   0,             0.60371,             0.43862,             0.47117,             0.20583,            0.061136,            0.064552,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.058416,             0.05622,                   0,             0.61809,             0.41127,             0.44917,             0.18339,            0.063859,            0.064467,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.05805,            0.060605,                   0,             0.60407,             0.44264,             0.47702,              0.2097,            0.061706,            0.064121,                   0,            0.006568,            0.006568,            0.006568
