               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.066049,            0.063336,                   0,             0.49438,             0.40268,             0.37785,             0.15675,            0.065716,            0.082642,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.066268,            0.061321,                   0,             0.53611,             0.37765,             0.38412,             0.13862,            0.067053,            0.065815,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.065793,            0.062984,                   0,             0.51804,             0.35602,             0.36652,             0.13538,            0.068163,            0.067962,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.065736,            0.064221,                   0,             0.59215,             0.40669,             0.43108,             0.18029,            0.063845,            0.064974,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.065642,            0.063238,                   0,             0.60488,             0.39809,             0.43557,             0.18342,            0.063615,            0.064812,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.064496,             0.06391,                   0,             0.57524,             0.41319,             0.43237,             0.17502,            0.064815,            0.068186,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.064787,            0.066243,                   0,             0.62578,             0.41205,             0.44913,             0.19412,            0.062386,            0.063855,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.063562,            0.061544,                   0,             0.60382,             0.41224,             0.45161,             0.19059,            0.063312,             0.06387,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.064737,            0.062335,                   0,             0.61873,             0.40958,             0.45436,               0.181,            0.063465,            0.064125,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.063823,            0.062027,                   0,             0.67675,             0.39656,             0.45196,             0.18432,            0.063968,            0.064435,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.06345,            0.061624,                   0,             0.61788,             0.40039,             0.43686,             0.18037,            0.064689,            0.065182,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.063339,            0.061091,                   0,             0.63942,             0.40823,             0.45664,             0.19491,            0.063726,            0.064668,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.063624,            0.062345,                   0,             0.59317,              0.4348,             0.45705,              0.1843,            0.063369,            0.064063,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.062456,            0.062399,                   0,              0.6247,             0.42505,             0.46152,              0.1965,            0.061808,            0.065117,                   0,            0.008317,            0.008317,            0.008317
